h,cz1,rz45,,cz1,rx90,,cz1,rz45,
h,cz2,cz1,rz45,cz2,cz1,rx90,cz2,cz1,rx90
h,,cz2,cz1,rz45,cz2,cz1,rz45,cz2,cz1
h,cz3,rz45,cz2,cz3,ry90,cz2,cz3,rz45,cz2
h,cz4,cz3,rz45,cz4,cz3,ry90,cz4,cz3,rx90
h,,cz4,cz3,rz45,cz4,cz3,ry90,cz4,cz3
h,cz5,rz45,cz4,cz5,ry90,cz4,cz5,rx90,cz4
h,cz6,cz5,rz45,cz6,cz5,ry90,cz6,cz5,rz45
h,,cz6,cz5,rz45,cz6,cz5,ry90,cz6,cz5
h,cz7,rz45,cz6,cz7,ry90,cz6,cz7,rz45,cz6
h,cz8,cz7,rz45,cz8,cz7,ry90,cz8,cz7,rz45
h,,cz8,rz45,ry90,cz8,cz7,rx90,cz8,rx90
h,cz9,rz45,cz7,cz9,ry90,cz8,cz9,ry90,cz7
h,cz10,cz9,cz8,cz10,cz9,ry90,cz10,cz9,cz8
h,,cz10,rz45,rx90,cz10,cz9,ry90,cz10,rx90
h,cz11,rz45,cz9,cz11,rx90,cz10,cz11,rx90,cz9
h,cz12,cz11,cz10,cz12,cz11,ry90,cz12,cz11,cz10
h,,cz12,rz45,ry90,cz12,cz11,rx90,cz12,ry90
h,,rz45,,,rx90,cz12,,ry90,
